YEAR,MONTH,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,1,Alabama       ,Colorado      ,79
2013,1,Alabama       ,Florida       ,281
2013,1,Alabama       ,Georgia       ,1325
2013,1,Alabama       ,Illinois      ,303
2013,1,Alabama       ,Louisiana     ,116
2013,1,Alabama       ,Maryland      ,118
2013,1,Alabama       ,Michigan      ,227
2013,1,Alabama       ,Missouri      ,62
2013,1,Alabama       ,Nevada        ,62
2013,1,Alabama       ,North Carolina,144
2013,1,Alabama       ,Texas         ,742
2013,1,Alaska        ,Alaska        ,594
2013,1,Alaska        ,Arizona       ,74
2013,1,Alaska        ,Colorado      ,62
2013,1,Alaska        ,Hawaii        ,79
2013,1,Alaska        ,Illinois      ,17
2013,1,Alaska        ,Minnesota     ,95
2013,1,Alaska        ,Oregon        ,124
2013,1,Alaska        ,Utah          ,5
2013,1,Alaska        ,Washington    ,1033
2013,1,Arizona       ,Alaska        ,74
2013,1,Arizona       ,Arizona       ,589
2013,1,Arizona       ,Arkansas      ,62
2013,1,Arizona       ,California    ,5706
2013,1,Arizona       ,Colorado      ,1729
2013,1,Arizona       ,Florida       ,456
2013,1,Arizona       ,Georgia       ,712
2013,1,Arizona       ,Hawaii        ,285
2013,1,Arizona       ,Idaho         ,186
2013,1,Arizona       ,Illinois      ,1039
2013,1,Arizona       ,Indiana       ,230
2013,1,Arizona       ,Iowa          ,124
2013,1,Arizona       ,Louisiana     ,62
2013,1,Arizona       ,Maryland      ,247
2013,1,Arizona       ,Massachusetts ,230
2013,1,Arizona       ,Michigan      ,420
2013,1,Arizona       ,Minnesota     ,688
2013,1,Arizona       ,Missouri      ,518
2013,1,Arizona       ,Nebraska      ,246
2013,1,Arizona       ,Nevada        ,1576
2013,1,Arizona       ,New Jersey    ,487
2013,1,Arizona       ,New York      ,314
2013,1,Arizona       ,North Carolina,492
2013,1,Arizona       ,Ohio          ,154
2013,1,Arizona       ,Oklahoma      ,177
2013,1,Arizona       ,Oregon        ,597
2013,1,Arizona       ,Pennsylvania  ,534
2013,1,Arizona       ,Tennessee     ,143
2013,1,Arizona       ,Texas         ,2243
2013,1,Arizona       ,Utah          ,1094
2013,1,Arizona       ,Virginia      ,209
2013,1,Arizona       ,Washington    ,901
2013,1,Arizona       ,Wisconsin     ,284
2013,1,Arkansas      ,Arizona       ,62
2013,1,Arkansas      ,Colorado      ,181
2013,1,Arkansas      ,Georgia       ,601
2013,1,Arkansas      ,Illinois      ,724
2013,1,Arkansas      ,Maryland      ,62
2013,1,Arkansas      ,Michigan      ,67
2013,1,Arkansas      ,Missouri      ,68
2013,1,Arkansas      ,Nevada        ,62
2013,1,Arkansas      ,Texas         ,1196
2013,1,California    ,Arizona       ,5706
2013,1,California    ,California    ,5347
2013,1,California    ,Colorado      ,3796
2013,1,California    ,Florida       ,958
2013,1,California    ,Georgia       ,1340
2013,1,California    ,Hawaii        ,1622
2013,1,California    ,Idaho         ,273
2013,1,California    ,Illinois      ,2414
2013,1,California    ,Indiana       ,2
2013,1,California    ,Kentucky      ,137
2013,1,California    ,Louisiana     ,208
2013,1,California    ,Maryland      ,214
2013,1,California    ,Massachusetts ,829
2013,1,California    ,Michigan      ,433
2013,1,California    ,Minnesota     ,690
2013,1,California    ,Missouri      ,327
2013,1,California    ,Montana       ,16
2013,1,California    ,Nevada        ,4929
2013,1,California    ,New Jersey    ,805
2013,1,California    ,New York      ,2811
2013,1,California    ,North Carolina,482
2013,1,California    ,Ohio          ,171
2013,1,California    ,Oklahoma      ,215
2013,1,California    ,Oregon        ,1757
2013,1,California    ,Pennsylvania  ,819
2013,1,California    ,Tennessee     ,324
2013,1,California    ,Texas         ,3836
2013,1,California    ,Utah          ,2441
2013,1,California    ,Virginia      ,520
2013,1,California    ,Washington    ,2879
2013,1,California    ,Wisconsin     ,90
2013,1,California    ,Wyoming       ,89
2013,1,Colorado      ,Alabama       ,79
2013,1,Colorado      ,Alaska        ,62
2013,1,Colorado      ,Arizona       ,1729
2013,1,Colorado      ,Arkansas      ,181
2013,1,Colorado      ,California    ,3796
2013,1,Colorado      ,Colorado      ,855
2013,1,Colorado      ,Connecticut   ,62
2013,1,Colorado      ,Florida       ,873
2013,1,Colorado      ,Georgia       ,799
2013,1,Colorado      ,Hawaii        ,106
2013,1,Colorado      ,Idaho         ,466
2013,1,Colorado      ,Illinois      ,1480
2013,1,Colorado      ,Indiana       ,323
2013,1,Colorado      ,Iowa          ,358
2013,1,Colorado      ,Kansas        ,127
2013,1,Colorado      ,Kentucky      ,116
2013,1,Colorado      ,Louisiana     ,339
2013,1,Colorado      ,Maryland      ,300
2013,1,Colorado      ,Massachusetts ,312
2013,1,Colorado      ,Michigan      ,452
2013,1,Colorado      ,Minnesota     ,911
2013,1,Colorado      ,Missouri      ,767
2013,1,Colorado      ,Montana       ,499
2013,1,Colorado      ,Nebraska      ,469
2013,1,Colorado      ,Nevada        ,1134
2013,1,Colorado      ,New Hampshire ,62
